"row_number","animal_name","animal_gender","animal_birth_month","breed_rc","borough","zip_code","community_district","census_tract2010","nta","city_council_district","congressional_district","state_senatorial_district","license_issued_date","license_expired_date"
37820,"Cool","M",2008-09-01,"Bassett Hound","Manhattan",10021,108,132,"MN31",5,12,28,2015-10-28,2017-11-19
37821,"Aster","F",2012-05-01,"Unknown","Manhattan",10027,109,203,"MN09",7,10,30,2015-10-28,2016-08-20
37822,"Ava","F",2009-04-01,"Miniature Pinscher","Manhattan",10022,108,11401,"MN40",4,12,28,2015-10-28,2017-10-28
37823,"Kisci","F",2000-01-01,"Labrador (or Crossbreed)","Queens",11375,406,71305,"QN17",29,6,16,2015-10-28,2016-09-30
37824,"Kipper","M",2010-10-01,"Schnauzer, Miniature","Manhattan",10010,106,64,"MN21",2,12,27,2015-10-28,2016-10-24
37825,"Kevin","M",2011-04-01,"Pomeranian","Bronx",10469,211,312,"BX31",13,14,34,2015-10-28,2016-10-31
37826,"Karla","F",2011-08-01,"Pit Bull (or Mix)","Brooklyn",11231,306,63,"BK33",39,7,26,2015-10-28,2016-10-28
37827,"Kany","F",2009-03-01,"Yorkshire Terrier","Manhattan",10030,109,227,"MN04",9,13,30,2015-10-28,2016-10-11
37828,"Cotton","M",2013-12-01,"Poodle, Standard","Bronx",10462,209,21001,"BX46",18,14,32,2015-10-28,2016-10-31
37829,"Ollie","M",2015-01-01,"Pomeranian","Manhattan",10009,106,44,"MN50",4,12,27,2015-10-28,2016-10-28
37830,"Opie","M",2014-07-01,"Labrador (or Crossbreed)","Manhattan",10024,107,175,"MN12",6,10,31,2015-10-28,2016-09-27
37831,"Oliver","M",2015-03-01,"Treeing Walker Coonhound","Manhattan",10035,111,184,"MN34",9,13,30,2015-10-28,2020-10-28
37832,"Guinness","M",2007-01-01,"Unknown","Staten Island",10308,503,15603,"SI54",51,11,24,2015-10-28,2016-11-12
37833,"Cashmere","F",2011-10-01,"Chihuahua","Bronx",10453,205,53,"BX36",16,13,29,2015-10-28,2016-10-28
37834,"Georgia","F",2012-08-01,"Pit Bull (or Mix)","Manhattan",10033,112,275,"MN35",10,13,31,2015-10-28,2016-10-28
37835,"Sonny","M",2011-07-01,"Yorkshire Terrier Crossbreed","Bronx",10455,201,35,"BX39",8,15,29,2015-10-28,2016-09-30
37836,"Sophie","F",2009-03-01,"Boston Terrier","Manhattan",10019,104,133,"MN15",3,10,27,2015-10-28,2016-10-28
37837,"Sparky","M",2006-09-01,"Poodle, Miniature","Brooklyn",11214,313,314,"BK26",43,11,22,2015-10-28,2016-05-08
37838,"Snickers","M",2013-03-01,"Unknown","Manhattan",10038,101,1502,"MN25",1,10,26,2015-10-28,2020-10-16
37839,"Snappy","M",2006-05-01,"Yorkshire Terrier","Queens",11378,405,517,"QN30",30,6,15,2015-10-28,2016-11-18
37840,"Steve","M",2007-06-01,"Poodle, Toy","Manhattan",10025,107,187,"MN12",6,10,31,2015-10-28,2017-09-28
37841,"Paulie","M",2013-10-01,"American Bully","Brooklyn",11203,317,834,"BK91",45,9,21,2015-10-28,2016-10-28
37842,"Lucky","M",2005-01-01,"Doberman Pinscher","Staten Island",10306,NA,NA,NA,NA,NA,NA,2015-10-28,2016-10-01
37843,"Peanut","F",2015-03-01,"Pomeranian","Manhattan",10009,106,44,"MN50",4,12,27,2015-10-28,2016-10-28
37844,"Penny","F",2002-01-01,"German Shepherd Crossbreed","Queens",11365,408,1241,"QN38",24,6,11,2015-10-28,2016-09-30
37845,"Pedro","M",2011-02-01,"Pug","Queens",11429,413,53601,"QN34",27,5,14,2015-10-28,2016-08-30
37847,"Pickle","F",2011-02-01,"Bull Dog, French","Brooklyn",11206,301,485,"BK78",34,7,18,2015-10-28,2016-02-07
37848,"Star","F",2013-05-01,"Cavalier King Charles Spaniel","Bronx",10458,206,391,"BX06",15,15,33,2015-10-28,2016-11-21
37849,"Starbright","M",2010-01-01,"German Shepherd Crossbreed","Queens",11421,409,64101,"QN53",30,6,12,2015-10-28,2016-08-03
37850,"Steeler","M",2005-04-01,"Unknown","Brooklyn",11229,315,59402,"BK17",48,9,19,2015-10-28,2017-09-30
37851,"Amelia","F",2012-03-01,"Maltese","Brooklyn",11228,310,204,"BK30",43,11,22,2015-10-28,2016-10-28
37852,"Angus","M",2007-01-01,"Unknown","Manhattan",10006,101,13,"MN25",1,10,26,2015-10-28,2016-10-10
37853,"Annabelle","F",2014-02-01,"Coonhound, Treeing Walker","Staten Island",10301,501,67,"SI35",49,11,24,2015-10-28,2016-11-07
37854,"Fanny","F",2009-09-01,"Pit Bull (or Mix)","Manhattan",10280,101,31704,"MN25",1,10,26,2015-10-28,2016-11-16
37855,"Evie","F",2011-03-01,"Unknown","Manhattan",10024,107,171,"MN12",6,10,31,2015-10-29,2016-11-05
37856,"Angie","F",2005-01-01,"Unknown","Manhattan",10025,107,181,"MN12",7,10,30,2015-10-29,2016-10-31
37857,"Achilles","M",2008-08-01,"Pit Bull (or Mix)","Brooklyn",11210,317,782,"BK91",45,9,21,2015-10-29,2016-11-07
37858,"Ace","M",2004-01-01,"Pomeranian","Manhattan",10029,111,170,"MN33",8,13,29,2015-10-29,2016-10-31
37859,"Ace","M",2014-08-01,"Pit Bull (or Mix)","Manhattan",10028,108,140,"MN40",4,12,28,2015-10-29,2016-10-29
37860,"Frida","F",2012-01-01,"Pug","Bronx",10467,207,431,"BX43",11,13,36,2015-10-29,2016-10-04
37861,"Freddy","M",2006-10-01,"Yorkshire Terrier","Manhattan",10029,111,15602,"MN33",8,13,29,2015-10-29,2016-10-29
37862,"Louise","M",2011-02-01,"Miniature Pinscher","Manhattan",10011,104,87,"MN13",3,12,27,2015-10-29,2016-08-19
37863,"Little","F",2003-07-01,"Unknown","Queens",11435,408,22002,"QN35",24,6,14,2015-10-29,2016-04-06
37864,"Spot","M",2002-01-01,"Unknown","Staten Island",10314,502,27706,"SI24",51,11,24,2015-10-29,2016-10-31
37865,"Spike","M",2010-06-01,"Pit Bull (or Mix)","Queens",11385,405,583,"QN20",30,6,15,2015-10-29,2016-10-24
37866,"Pepe","M",2007-01-01,"Puggle","Queens",11379,405,507,"QN21",30,6,15,2015-10-29,2016-10-29
37867,"Pepper","F",2014-01-01,"German Shepherd Crossbreed","Brooklyn",11221,304,421,"BK78",34,7,18,2015-10-29,2016-11-06
37868,"Parke","M",2009-01-01,"Unknown","Manhattan",10024,107,171,"MN12",6,10,31,2015-10-29,2016-11-16
37869,"Payal","F",2014-03-01,"Golden Retriever","Queens",11377,402,259,"QN63",26,14,12,2015-10-29,2016-10-29
37870,"Patches","F",2006-04-01,"Siberian Husky","Queens",11101,401,51,"QN68",26,12,12,2015-10-29,2016-10-30
37871,"Suki","F",2013-01-01,"Maltese Crossbreed","Brooklyn",11208,305,1210,"BK82",42,8,18,2015-10-29,2016-10-29
37872,"Tasty","M",2009-02-01,"Pit Bull (or Mix)","Brooklyn",11230,312,450,"BK46",44,10,17,2015-10-29,2017-09-16
37873,"Snoop","M",2013-10-01,"American Staffordshire Terrier","Queens",11691,414,99802,"QN15",31,5,10,2015-10-29,2016-10-29
37874,"Sniper","M",2012-06-01,"Unknown","Bronx",10461,210,194,"BX52",13,14,34,2015-10-29,2016-11-08
37875,"Sophie","F",2014-08-01,"Dutch Shepherd","Bronx",10453,205,24502,"BX36",14,15,33,2015-10-29,2016-10-29
37876,"Sofiya","F",2007-01-01,"Schnauzer, Miniature","Brooklyn",11214,311,176,"BK27",43,11,22,2015-10-29,2016-09-29
37877,"Butterfly","F",2008-10-01,"Shih Tzu","Bronx",10472,209,76,"BX08",18,15,32,2015-10-29,2016-10-31
37878,"Buster","M",2010-01-01,"Collie, Border","Brooklyn",11224,313,336,"BK21",47,8,23,2015-10-29,2016-11-15
37879,"Busta","M",2005-11-01,"Unknown","Brooklyn",11209,310,68,"BK31",43,11,22,2015-10-29,2016-11-19
37880,"Buddy","M",2012-04-01,"Rhodesian Ridgeback","Staten Island",10303,501,239,"SI12",49,11,23,2015-10-29,2017-05-20
37881,"Gigi","F",2000-01-01,"Unknown","Brooklyn",11214,311,302,"BK29",47,10,22,2015-10-29,2016-09-30
37882,"Cartel","M",2012-04-01,"Pit Bull (or Mix)","Bronx",10454,201,39,"BX39",8,15,29,2015-10-29,2016-10-29
37883,"Carmelo","M",2012-02-01,"Yorkshire Terrier","Bronx",10451,201,51,"BX39",8,15,29,2015-10-29,2016-09-19
37884,"Casey","M",2008-04-01,"Labrador (or Crossbreed)","Manhattan",10011,102,63,"MN23",3,10,27,2015-10-29,2016-09-20
37885,"Gogo","F",2010-10-01,"Bull Dog, French","Brooklyn",11221,303,263,"BK75",36,8,25,2015-10-29,2016-10-08
37886,"Goldie","F",2011-05-01,"Poodle","Bronx",10463,208,30701,"BX22",11,16,34,2015-10-29,2016-10-28
37887,"Goofy","M",2011-12-01,"Shih Tzu","Brooklyn",11237,304,441,"BK77",37,7,18,2015-10-29,2016-10-29
37888,"Gracie","F",2014-01-01,"Labrador (or Crossbreed)","Staten Island",10301,501,11,"SI22",49,11,23,2015-10-29,2016-11-21
37889,"Nutella","F",2008-01-01,"Collie, Border","Manhattan",10022,106,100,"MN19",4,12,28,2015-10-29,2016-11-19
37890,"Nunu","M",2002-08-01,"Poodle, Standard","Brooklyn",11206,303,289,"BK35",36,8,18,2015-10-29,2016-11-22
37891,"Gracie","F",2008-11-01,"Schnauzer, Miniature","Manhattan",10022,105,11202,"MN17",4,12,28,2015-10-29,2016-11-22
37892,"Olivier","F",2005-01-01,"Unknown","Manhattan",10027,109,211,"MN09",7,13,30,2015-10-29,2016-04-29
37893,"Oscar","M",2007-01-01,"Yorkshire Terrier","Staten Island",10312,503,17012,"SI01",51,11,24,2015-10-29,2016-10-26
37894,"Cupcake","F",2010-03-01,"Shih Tzu","Brooklyn",11222,301,561,"BK76",33,12,26,2015-10-29,2016-10-25
37895,"Cupcake","F",2013-10-01,"Pit Bull (or Mix)","Bronx",10458,206,389,"BX06",15,15,33,2015-10-29,2016-10-29
37896,"Cooper","M",2015-06-01,"Chihuahua","Manhattan",10022,106,108,"MN19",5,12,28,2015-10-29,2016-10-29
37897,"Cory","M",2013-10-01,"Pit Bull (or Mix)","Manhattan",10044,108,23801,"MN31",5,12,29,2015-10-29,2016-10-29
37898,"Daisy","F",2011-01-01,"Labrador (or Crossbreed)","Brooklyn",11215,306,149,"BK37",39,9,21,2015-10-29,2017-10-29
37899,"Daisy","F",2013-10-01,"Pit Bull (or Mix)","Bronx",10458,206,387,"BX06",15,15,33,2015-10-29,2016-10-29
37900,"Kibbles","F",2013-03-01,"Unknown","Manhattan",10017,106,88,"MN19",4,12,28,2015-10-29,2016-09-20
37901,"Karma","F",2011-05-01,"Pit Bull (or Mix)","Queens",11419,410,15801,"QN55",28,5,10,2015-10-29,2016-10-29
37902,"Kayla","F",2006-07-01,"Cocker Spaniel","Brooklyn",11206,301,489,"BK78",34,7,18,2015-10-29,2016-10-30
37903,"Kiwi","F",2004-01-01,"American Staffordshire Terrier","Brooklyn",11235,315,370,"BK19",48,11,22,2015-10-29,2017-09-29
37904,"Kitty","F",2010-09-01,"German Shepherd Crossbreed","Manhattan",10019,104,127,"MN15",3,10,27,2015-10-29,2016-11-14
37905,"Bailey","F",2008-11-01,"Poodle, Standard","Queens",11420,410,838,"QN55",32,5,10,2015-10-29,2016-05-31
37906,"Bailey","F",2010-12-01,"Golden Retriever","Brooklyn",11220,310,70,"BK31",43,10,22,2015-10-29,2016-09-01
37907,"Baby","F",2001-01-01,"Maltese","Queens",11364,411,129103,"QN42",23,6,11,2015-10-29,2016-10-31
37908,"Cody","M",2001-01-01,"Unknown","Queens",11421,409,10,"QN53",32,7,15,2015-10-29,2016-10-31
37909,"Cody","M",2009-01-01,"Maltese","Brooklyn",11234,318,662,"BK45",46,8,22,2015-10-29,2016-11-09
37910,"Balto","M",2015-08-01,"Yorkshire Terrier","Brooklyn",11210,314,786,"BK42",45,9,21,2015-10-29,2016-10-29
37911,"Bandido","M",2013-04-01,"Shih Tzu","Queens",11354,407,88901,"QN22",20,6,16,2015-10-29,2016-11-10
37912,"Murphy","M",2010-08-01,"Boston Terrier","Manhattan",10025,107,177,"MN12",6,10,30,2015-10-29,2016-10-28
37913,"Rocky","M",2008-10-01,"Yorkshire Terrier","Manhattan",10003,106,48,"MN21",2,12,28,2015-10-29,2016-11-12
37914,"Name Not Provided","F",2015-08-01,"Maltese","Staten Island",10314,501,30301,"SI12",49,11,23,2015-10-29,2016-10-29
37915,"Nala","F",2009-11-01,"Pit Bull (or Mix)","Queens",11691,414,97203,"QN12",31,5,10,2015-10-29,2020-10-29
37916,"Ruby","F",2012-04-01,"Poodle, Standard","Queens",11418,409,128,"QN54",32,5,10,2015-10-29,2016-10-22
37947,"Nina","F",2011-11-01,"Chihuahua","Queens",11354,407,907,"QN23",19,14,11,2015-10-29,2016-10-17
37917,"Roman","M",2013-10-01,"Pit Bull (or Mix)","Staten Island",10312,503,15601,"SI54",51,11,24,2015-10-29,2016-11-19
37918,"Weezer","M",2007-06-01,"Pug","Manhattan",10010,106,64,"MN21",2,12,28,2015-10-29,2016-11-07
37919,"Leo","M",2014-01-01,"Chihuahua","Queens",11432,408,450,"QN35",24,6,11,2015-10-29,2016-10-27
37920,"Lexi","F",2009-10-01,"Unknown","Brooklyn",11222,301,591,"BK76",33,12,26,2015-10-29,2016-11-01
37921,"Lex","M",2011-03-01,"Pit Bull (or Mix)","Queens",11385,405,591,"QN20",30,7,12,2015-10-29,2016-11-01
37922,"Lego","M",2005-01-01,"Unknown","Manhattan",10011,102,63,"MN23",3,10,27,2015-10-29,2016-09-30
37923,"Lazaro","M",2013-12-01,"French Bulldog","Bronx",10462,NA,NA,NA,NA,NA,NA,2015-10-29,2016-11-21
37924,"Layla","F",2014-05-01,"Labrador (or Crossbreed)","Staten Island",10314,502,29102,"SI05",50,11,24,2015-10-29,2016-10-29
37925,"Layla","F",2009-01-01,"Labrador (or Crossbreed)","Queens",11372,403,279,"QN28",25,14,13,2015-10-29,2016-10-13
37926,"Diamond","F",2012-05-01,"Shih Tzu","Bronx",10472,209,44,"BX55",18,15,32,2015-10-29,2016-09-24
37927,"Dixie","F",2011-02-01,"Labrador (or Crossbreed)","Manhattan",10025,107,183,"MN12",7,10,30,2015-10-29,2016-10-29
37928,"Dogstoyevsky","M",2012-08-01,"Poodle, Miniature","Brooklyn",11207,305,1156,"BK85",42,8,19,2015-10-29,2016-10-29
37929,"Dodi","M",2014-09-01,"German Shepherd Dog","Queens",11374,406,721,"QN17",29,6,16,2015-10-29,2016-11-14
37930,"Dodik","M",2007-01-01,"Unknown","Manhattan",10065,108,10602,"MN31",5,12,28,2015-10-29,2016-07-08
37931,"Brooklyn","F",2014-10-01,"American Staffordshire Terrier","Queens",11432,408,1267,"QN38",24,6,14,2015-10-29,2016-10-29
37932,"Bosco","M",2008-01-01,"Poodle, Standard","Queens",11420,410,838,"QN55",32,5,10,2015-10-29,2016-11-19
37933,"Bucket","M",2014-08-01,"Boston Terrier","Queens",11413,413,358,"QN66",31,5,14,2015-10-29,2016-10-29
37934,"Damon","M",2012-03-01,"Maltese","Queens",11355,407,857,"QN22",20,6,16,2015-10-29,2016-07-23
37935,"Delilah","F",2012-12-01,"Unknown","Brooklyn",11236,318,998,"BK50",46,8,19,2015-10-29,2016-11-12
37936,"Deebo","M",2001-01-01,"Labrador (or Crossbreed)","Bronx",10461,211,248,"BX49",13,14,34,2015-10-29,2016-10-30
37937,"Zoey","F",2013-05-01,"Yorkshire Terrier","Bronx",10463,208,309,"MN01",10,13,31,2015-10-29,2016-10-08
37938,"Zoiie","F",2015-04-01,"Yorkshire Terrier","Queens",11365,408,122702,"QN38",24,6,16,2015-10-29,2016-10-29
37939,"Yanyan","F",2015-08-01,"Shih Tzu","Brooklyn",11214,311,268,"BK28",47,10,22,2015-10-29,2016-10-29
37940,"Nena","F",2007-01-01,"Unknown","Bronx",10453,205,21502,"BX36",14,15,29,2015-10-29,2016-10-30
37941,"Lily","F",2007-01-01,"Unknown","Manhattan",10023,107,187,"MN12",6,10,31,2015-10-29,2016-09-29
37942,"Woofus","M",2001-01-01,"Unknown","Brooklyn",11228,310,140,"BK30",43,11,22,2015-10-29,2016-10-31
37943,"North","F",2003-01-01,"Siberian Husky","Manhattan",10022,106,11203,"MN19",4,12,28,2015-10-29,2016-10-06
37944,"Nina","F",2004-01-01,"Shih Tzu","Queens",11367,408,77908,"QN37",24,6,15,2015-10-29,2016-10-31
37945,"Nico","M",2011-08-01,"Shih Tzu","Bronx",10472,209,44,"BX55",18,15,32,2015-10-29,2016-08-16
37946,"Niro","M",2013-01-01,"Jack Russell Terrier","Queens",11106,401,77,"QN70",22,12,12,2015-10-29,2016-11-17
37948,"Noche","F",2012-02-01,"Unknown","Brooklyn",11238,308,203,"BK64",35,8,25,2015-10-29,2020-07-09
37949,"Maya","F",2007-04-01,"Yorkshire Terrier","Queens",11375,406,709,"QN17",29,6,15,2015-10-29,2016-08-25
37950,"Jacy","M",2004-08-01,"Unknown","Bronx",10471,208,345,"BX22",11,16,34,2015-10-29,2016-09-25
37951,"Jake","M",2014-04-01,"Pit Bull (or Mix)","Queens",11356,407,929,"QN23",19,14,11,2015-10-29,2016-10-29
37952,"Cher","F",2005-01-01,"Yorkshire Terrier","Staten Island",10308,503,13203,"SI54",51,11,24,2015-10-29,2016-09-29
37953,"Checkers","M",2005-01-01,"Cocker Spaniel","Queens",11434,412,368,"QN08",27,5,14,2015-10-29,2016-10-31
37954,"Charlie","M",2005-01-01,"Pekingese","Brooklyn",11230,312,444,"BK46",44,10,22,2015-10-29,2016-10-29
37955,"Charley","F",2013-06-01,"Havanese","Manhattan",10023,107,159,"MN14",6,10,29,2015-10-29,2016-11-11
37956,"Saba","F",2012-01-01,"Labrador (or Crossbreed)","Brooklyn",11214,NA,NA,NA,NA,NA,NA,2015-10-29,2016-06-14
37957,"Sam","M",2004-10-01,"Chihuahua","Queens",11426,413,155102,"QN44",23,3,11,2015-10-29,2016-11-18
37958,"Saggie","F",2006-12-01,"Unknown","Bronx",10452,204,193,"BX26",16,15,29,2015-10-29,2016-05-30
37959,"Sadie","F",2011-06-01,"Unknown","Bronx",10462,209,21002,"BX46",18,14,32,2015-10-29,2016-10-02
37960,"Mija","F",2001-10-01,"Unknown","Staten Island",10303,501,31902,"SI12",49,11,23,2015-10-29,2016-10-30
37961,"Shea","F",2013-06-01,"Wheaton Terrier","Manhattan",10128,108,15002,"MN40",4,12,28,2015-10-29,2016-10-25
37962,"Scooby","M",2012-04-01,"Poodle Crossbreed","Bronx",10474,202,93,"BX27",17,15,32,2015-10-29,2016-10-29
37963,"Shadow","F",2008-01-01,"Labrador (or Crossbreed)","Manhattan",10038,101,1501,"MN25",1,10,26,2015-10-29,2017-10-29
37964,"Sato","M",2011-01-01,"Shiba Inu","Queens",11355,407,837,"QN62",20,6,16,2015-10-29,2016-10-22
37965,"Sassy","F",2005-01-01,"Yorkshire Terrier","Manhattan",10028,108,138,"MN32",5,12,28,2015-10-29,2016-10-31
37966,"Milta","F",2002-01-01,"Chihuahua","Manhattan",10040,112,283,"MN35",10,13,31,2015-10-29,2016-11-07
37967,"Milton","M",2013-06-01,"Pit Bull (or Mix)","Staten Island",10301,501,11,"SI22",49,11,23,2015-10-29,2016-10-29
37968,"Mo","M",2013-08-01,"Shih Tzu","Brooklyn",11208,305,117601,"BK83",37,7,18,2015-10-29,2016-10-29
37969,"Mollie","F",2008-03-01,"Collie Crossbreed","Queens",11366,408,1333,"QN41",24,6,11,2015-10-29,2016-11-24
37970,"Jimmy","M",2013-10-01,"Pit Bull (or Mix)","Staten Island",10314,502,27704,"SI24",50,11,24,2015-10-29,2016-10-29
37971,"Joey","M",2014-12-01,"German Shepherd Crossbreed","Brooklyn",11215,306,137,"BK37",39,7,21,2015-10-29,2016-10-29
37972,"Coco","F",2012-03-01,"Unknown","Bronx",10461,210,194,"BX52",13,14,34,2015-10-29,2016-11-08
37973,"Jessica","F",2010-07-01,"Unknown","Queens",11412,412,508,"QN07",27,5,14,2015-10-29,2016-10-29
37974,"Jasper","M",2014-06-01,"Labrador (or Crossbreed)","Manhattan",10032,112,247,"MN36",7,13,31,2015-10-29,2016-10-17
37975,"Chomper","M",2014-05-01,"Labrador (or Crossbreed)","Staten Island",10314,502,29102,"SI05",50,11,24,2015-10-29,2016-08-19
37976,"Chrissy","F",2004-01-01,"Dachshund","Queens",11358,407,1151,"QN51",19,6,11,2015-10-29,2016-10-31
37977,"Porkchop","M",2013-05-01,"Labrador (or Crossbreed)","Brooklyn",11229,315,552,"BK44",48,9,17,2015-10-29,2016-11-08
37978,"Precious","F",2005-01-01,"Unknown","Queens",11434,412,266,"QN01",27,5,14,2015-10-29,2016-09-29
37979,"Pippin","F",2008-11-01,"Unknown","Manhattan",10128,108,154,"MN32",5,12,29,2015-10-29,2016-08-16
37980,"Prudence","F",2001-01-01,"Havanese","Manhattan",10017,106,90,"MN19",4,12,28,2015-10-29,2016-10-30
37981,"Taylor","F",2013-08-01,"Pit Bull (or Mix)","Bronx",10465,210,118,"BX52",13,14,34,2015-10-29,2016-10-29
37982,"Puggles","M",2003-01-01,"Pug","Manhattan",10128,108,15601,"MN32",5,12,29,2015-10-29,2016-11-01
37983,"Pugy","M",2014-02-01,"Chihuahua","Queens",11373,404,481,"QN29",25,6,16,2015-10-29,2016-10-29
37984,"Prince","M",2014-10-01,"Yorkshire Terrier Crossbreed","Brooklyn",11207,305,1162,"BK82",42,8,19,2015-10-29,2016-10-29
37985,"Thor","M",2006-01-01,"Boston Terrier","Staten Island",10305,502,70,"SI36",50,11,23,2015-10-29,2016-10-31
37986,"Luna","F",2008-01-01,"Puggle","Manhattan",10002,103,6,"MN28",1,7,26,2015-10-29,2016-10-21
37987,"Elmira","F",2015-05-01,"Beagle Crossbreed","Manhattan",10025,107,193,"MN09",7,13,30,2015-10-29,2016-10-29
37988,"Elmira","F",2015-06-01,"Beagle Crossbreed","Manhattan",10025,107,193,"MN09",7,13,30,2015-10-29,2016-10-29
37989,"Lucky","M",2000-12-01,"Poodle, Miniature","Bronx",10471,208,323,"BX22",11,16,34,2015-10-29,2016-09-25
37990,"Bartholomew","M",2007-04-01,"Rottweiler","Queens",11369,403,347,"QN28",21,14,13,2015-10-29,2016-10-05
37991,"Bella","F",2003-01-01,"Saint Bernard","Staten Island",10301,502,177,"SI24",50,11,24,2015-10-29,2016-10-31
37992,"Bella","F",2015-08-01,"Shih Tzu","Brooklyn",11204,311,268,"BK28",44,10,22,2015-10-29,2016-10-29
37993,"Dunkin","M",2012-07-01,"Labradoodle","Brooklyn",11230,312,452,"BK46",44,10,22,2015-10-29,2016-11-05
37994,"Dulce","F",2014-06-01,"Pit Bull (or Mix)","Staten Island",10301,501,11,"SI22",49,11,23,2015-10-29,2016-10-29
37995,"Dumbo","M",2014-04-01,"Chihuahua","Bronx",10467,211,336,"BX07",15,14,36,2015-10-29,2016-10-28
37996,"Donte","M",2014-06-01,"Unknown","Manhattan",10002,103,18,"MN27",1,12,26,2015-10-29,2016-08-18
37997,"Harriet","F",2000-01-01,"Pug","Queens",11379,405,507,"QN21",30,6,15,2015-10-29,2016-10-31
37998,"Harley","M",2009-08-01,"Cocker Spaniel","Brooklyn",11206,301,513,"BK73",34,7,18,2015-10-29,2016-11-02
37999,"Hachiko","F",2010-01-01,"Shiba Inu","Brooklyn",11224,313,336,"BK21",47,8,23,2015-10-29,2016-11-17
38000,"Bitsy","F",2001-06-01,"German Shepherd Dog","Queens",11429,413,540,"QN34",27,5,14,2015-10-29,2016-10-29
38001,"Max","M",2000-01-01,"Maltese","Manhattan",10035,111,206,"MN03",9,13,30,2015-10-29,2016-09-29
38002,"Mattie","F",2013-08-01,"Poodle","Manhattan",10029,111,162,"MN33",8,13,30,2015-10-29,2016-10-29
38003,"Malvina","M",2007-07-01,"Scottish Terrier","Bronx",10463,208,285,"BX29",11,16,34,2015-10-29,2016-10-30
38004,"Mala","F",2013-04-01,"Pit Bull (or Mix)","Queens",11414,410,884,"QN57",32,8,15,2015-10-29,2019-10-29
38005,"Mailo","M",2008-11-01,"Unknown","Bronx",10459,202,89,"BX27",17,15,32,2015-10-29,2016-10-29
38006,"Maggie","F",2001-06-01,"German Shepherd Crossbreed","Manhattan",10011,102,77,"MN23",3,10,27,2015-10-29,2016-10-31
38007,"Haze","M",2013-12-01,"Staffordshire Bull Terrier","Manhattan",7624,NA,NA,NA,NA,NA,NA,2015-10-29,2016-10-29
38008,"Truth","F",2014-08-01,"Pit Bull (or Mix)","Brooklyn",11222,301,565,"BK76",33,12,26,2015-10-29,2016-10-29
38009,"Tucson","M",2008-07-01,"Unknown","Manhattan",10028,108,136,"MN32",5,12,28,2015-10-29,2016-11-19
38010,"Tumbleweed","M",2013-10-01,"Chihuahua Crossbreed","Bronx",10454,201,39,"BX39",8,15,29,2015-10-29,2016-10-29
38011,"Rafa","M",2014-08-01,"Pomeranian","Queens",11375,406,743,"QN17",29,6,16,2015-10-29,2016-10-29
38012,"Quimbo","M",2006-10-01,"Unknown","Manhattan",10009,103,2601,"MN28",2,12,26,2015-10-29,2016-11-13
38013,"Pumpkin","F",2005-05-01,"Chihuahua","Staten Island",10308,503,14604,"SI54",51,11,24,2015-10-29,2016-10-30
38014,"Ranger","M",2008-04-01,"Labrador (or Crossbreed)","Manhattan",10025,107,183,"MN12",7,10,30,2015-10-29,2016-10-29
38015,"Trinity","F",2011-01-01,"Pit Bull (or Mix)","Queens",11417,410,94,"QN55",28,5,10,2015-10-29,2016-10-22
38016,"Riley","M",2014-12-01,"Chihuahua","Manhattan",10022,106,108,"MN19",5,12,28,2015-10-29,2017-10-29
38017,"Richie","M",2015-08-01,"Shih Tzu","Brooklyn",11223,313,382,"BK26",47,11,23,2015-10-29,2016-10-29
38018,"Ricky","M",2011-05-01,"Cavalier King Charles Spaniel","Staten Island",10309,503,20801,"SI32",51,11,24,2015-10-29,2016-10-29
38019,"Raina","F",2014-06-01,"Coonhound, Treeing Walker","Manhattan",10039,110,23502,"MN03",9,13,30,2015-10-30,2016-10-30
38020,"Unknown","F",2009-10-01,"Bulldog","Brooklyn",11229,315,568,"BK44",46,9,22,2015-10-30,2016-10-30
38021,"Truffles","F",2008-09-01,"Unknown","Queens",11427,408,492,"QN06",23,5,14,2015-10-30,2016-11-10
38022,"Hercules","M",2013-04-01,"Jack Russell Terrier","Queens",11373,404,467,"QN29",25,14,13,2015-10-30,2016-09-29
38023,"Malú","F",2013-08-01,"Boston Terrier","Brooklyn",11216,308,315,"BK61",36,9,25,2015-10-30,2016-10-30
38024,"Marty","M",2015-03-01,"Beagle","Staten Island",10310,501,13302,"SI22",49,11,23,2015-10-30,2016-10-30
38025,"Bernard","M",2015-07-01,"French Bulldog","Manhattan",10014,102,79,"MN23",3,10,27,2015-10-30,2016-10-30
38026,"Happy","F",2011-07-01,"French Bulldog","Manhattan",10023,107,155,"MN14",6,10,27,2015-10-30,2016-10-30
38027,"Bobby","M",2012-07-01,"Shih Tzu","Manhattan",10031,109,23501,"MN04",9,13,30,2015-10-30,2016-07-10
38028,"Beau","M",2009-10-01,"Yorkshire Terrier","Manhattan",10023,107,157,"MN14",6,10,27,2015-10-30,2016-10-30
38029,"Lucky","M",2015-06-01,"Shih Tzu","Bronx",10456,203,14702,"BX01",16,15,33,2015-10-30,2016-10-30
38030,"Eddie","F",2006-06-01,"Welsh Corgi, Pembroke","Manhattan",10031,109,233,"MN04",7,13,30,2015-10-30,2016-08-11
38031,"Luki","M",2009-09-01,"Unknown","Manhattan",10025,107,189,"MN12",7,13,30,2015-10-30,2019-10-30
